Unit: dimensionless (ratio of electricity demand in this hour to annual demand),Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
Winter,0.00014480977096679068,0.00014541049399830006,0.00014793536979746755,0.00015286381670304166,0.0001599590063623561,0.00016363615064639614,0.00014495185245883916,0.00013235129597423035,0.000131580808451061,0.00012549652356381782,0.00011736691701222962,0.00011450848725698865,0.00011650546551906913,0.00012170703712788619,0.00013206439766921853,0.00015040078631575995,0.00014771646652653967,0.00013806811668583396,0.00013623688723151748,0.00013913584241506116,0.0001419653670060269,0.00014352766203594845,0.00014237653811798322,0.0001426150348224133
Spring,0.00011050002965209231,0.00011215662050567243,0.00011224520319451276,0.00011165235633528229,0.00011126281559793459,9.792296103838704e-05,7.946041783930721e-05,7.579239614150904e-05,7.873994692002571e-05,8.116203964092355e-05,8.703883297729589e-05,9.51888525886885e-05,9.888653117902752e-05,0.00010211697427837951,0.00010361036735043881,0.00010518628078661623,0.00010839754269054726,0.00010246235704245094,8.559679992028287e-05,8.366769544579181e-05,9.44599671626926e-05,0.00010304353998891594,0.00010277670070394487,0.00010576288061559124
Summer,0.00010796753377554035,0.00011010361605023884,0.00011248558844548924,0.0001101193864563437,0.0001066889000200837,9.143622480834013e-05,7.730794108746689e-05,7.602189652328779e-05,8.122228409737298e-05,8.634610186230516e-05,8.946405218538498e-05,9.18939768723687e-05,9.40485220615315e-05,9.666505039928752e-05,9.932930024234624e-05,9.774131009786709e-05,0.00010039122553927918,0.00010130519109113104,8.321338120765396e-05,9.718660208996469e-05,0.00010192649380578835,9.816646998927896e-05,0.00010198852406980075,0.000105071240997778
Fall,0.0001227633699799542,0.00012405694684152328,0.00012445895410367674,0.00012464262226875443,0.00012550581144282158,0.00011581865063899762,0.00010159515679582992,9.714762230383968e-05,9.615525830718107e-05,0.00010230035184940006,0.00011083821514474769,0.00011509871678205704,0.0001212309733019857,0.0001238938691139084,0.00012818187343145243,0.0001367115078663575,0.00012764794839322663,0.00010606606125147707,0.00010757523425664098,0.00012226726112705104,0.0001311113477490008,0.00013040995625759083,0.00012064178689429896,0.00012138505414218335
Summer Peak 1,0.00013010369635827558,0.00012761174140727942,0.0001306212733937555,0.00012542988649047167,0.00012414263670826507,0.00011516535226528518,5.560606728162863e-05,5.92558777559614e-05,5.4213963531027376e-05,7.448201252816263e-05,0.00010689527437509472,0.00010507260007342609,0.00010329900635270814,9.872558858230338e-05,9.412539958592553e-05,9.220010225136e-05,9.29140016106427e-05,9.41588636183919e-05,8.303095735557289e-05,0.00010002176210650102,9.9024533939003e-05,9.332449374223024e-05,0.00011123221298273707,0.00010072227585279716
Summer Peak 2,0.00012270145237671312,0.0001173159740851243,0.00011975438658417424,0.00012986721719551316,0.00013234578653352277,0.00012109740975382483,0.00010246017460555097,8.884923713372686e-05,5.1184353125071444e-05,4.8621008238147016e-05,8.555191446803992e-05,9.117164098689336e-05,8.81598780649195e-05,8.557645475851525e-05,8.560768785548387e-05,8.245091412615571e-05,8.05836211145319e-05,8.07286319218862e-05,7.839953526222641e-05,9.157990218298316e-05,9.498430975256252e-05,0.00011284741028311419,0.00011179440872817222,0.0001180990324448375
Summer Peak 3,0.00010374742438775757,0.00011312181534933848,0.00011125452233771466,0.00010961255381136448,0.00011049377333297905,0.00010511275691238575,5.8867694979351436e-05,4.7581392296191595e-05,5.172423951552898e-05,5.8345656072875976e-05,9.688060492565717e-05,9.513155149541456e-05,9.344942613010472e-05,9.663520202090375e-05,9.434849313570137e-05,9.350073764655317e-05,0.00010414676184185634,0.00011226290518270149,0.00013163634904523558,0.00015131989294195813,0.00014947714022080967,0.00011576101204318667,0.00011961383764781547,0.00012524471884415772
Summer Peak 4,0.00010463310578036769,9.892414184160387e-05,9.498207881706475e-05,9.507131623697508e-05,9.501554284953113e-05,8.979515378477642e-05,9.157320937648987e-05,5.531381473142228e-05,5.698255448374557e-05,7.306090661609052e-05,0.00011095780791651281,9.859619432343339e-05,9.363013190542314e-05,8.997362862459709e-05,9.057821214448962e-05,9.088385030768253e-05,0.00011483517381161692,0.00015036282161341976,0.00014031468813151585,0.0001482679731810246,0.00014119367671763266,0.00012414932951475833,0.000114853021295599,0.00012248505163343055
Summer Peak 5,0.00011501811052243313,0.0001165106063704335,0.00011966961103525944,0.00012157482995034511,0.00011899586851493638,0.0001008918269506268,7.327730735937307e-05,7.12962366373636e-05,5.487432043836386e-05,0.00010830076373868252,0.00011697464095396726,0.00011030637475116734,0.00010463310578036769,0.00010061072907790925,0.00011505603642589502,0.00011254846492641454,0.00010896558251701453,9.907584545545145e-05,8.507672520701736e-05,9.971389300781037e-05,9.216440728339586e-05,0.00011222274834374183,7.91625152024598e-05,9.381753048723486e-05
Winter Peak 1,0.00018691446880869374,0.0001942609394028122,0.00019330386807427387,0.0001941382379504355,0.00019627770509278583,0.00018881968772377944,0.00020481103337171178,0.00018432881456679172,0.00017118414261399912,0.00015233496859343824,0.00014812296237367033,0.00015265176143411992,0.0001525826024336894,0.00015085139648742888,0.0001693079258603843,0.0001821737308759571,0.00020690365086860918,0.00020372456778430342,0.0002041395217868865,0.00019976688821127998,0.00020492034921110194,0.0002023101546787246,0.00019686444112869628,0.00019170651825787884
