Unit: dimensionless (% of output purchased),government,domestic industries,labor and consumers,foreign entities
agriculture and forestry 01T03,0,0.8374082482779507,0.11400745635941266,0.0485842953626366
coal mining 05,0,1,0,0
oil and gas extraction 06,0,0.8808709724713326,0,0.11912902752866741
other mining and quarrying 07T08,0,0.9916284737222727,0.0025760808500553058,0.005795445427671956
food beverage and tobacco 10T12,0,0.40372825677422014,0.5550056677025902,0.04126607552318966
textiles apparel and leather 13T15,5.9955080707205924e-5,0.23048504147046975,0.7573463787538024,0.012108624695020649
wood products 16,7.128875517746802e-4,0.9776392688702219,0.019601123573430194,0.0020467200045731406
pulp paper and printing 17T18,0,0.8284271297881219,0.09142244267239563,0.0801504275394824
refined petroleum and coke 19,0,0.5516244599899807,0.4318609362268817,0.016514603783137658
chemicals 20,0,0.5110218924626901,0.3508281041293075,0.13815000340800238
rubber and plastic products 22,7.841545722290433e-5,0.8396377663086889,0.10948845469635694,0.05079536353773125
glass and glass products 231,0,0.897094054164918,0.08525988330167945,0.017646062533402476
cement and other nonmetallic minerals 239,0,0.897094054164918,0.08525988330167945,0.01764606253340248
iron and steel 241,0,0.9767386489891188,0.01100229241642359,0.012259058594457663
other metals 242,0,0.9861024636164825,0.0017322129249746768,0.012165323458542805
metal products except machinery and vehicles 25,0.002179444947518311,0.9191307661986279,0.041183732488685745,0.037506056365167975
computers and electronics 26,0.0385112494092843,0.5253353070644575,0.3934070733776475,0.04274637014861063
appliances and electrical equipment 27,0.008453242790315731,0.6475988215839972,0.24785149383259095,0.09609644179309601
other machinery 28,0.050720041465973385,0.7413480020733992,0.03978075423887158,0.1681512022217557
road vehicles 29,0.07102688066269348,0.4529195830718582,0.4239780862644455,0.052075450001002804
nonroad vehicles 30,0.003719054806332223,0.17450780073904648,0.04400960126371016,0.7777635431909111
other manufacturing 31T33,0.011509782407295546,0.3824178434177702,0.5889505545668212,0.017121819608113098
energy pipelines and gas processing 352T353,0,0.601777940097089,0.3760421936385382,0.02217986626437287
water and waste 36T39,0,0.7326527459547655,0.2643951775924066,0.0029520764528279436
construction 41T43,0.5517916696417476,0.4480655807976014,0,1.4274956065096685e-4
